0 303034.049598 6718840.100106 0 0.000000 0 0.023570 0.000000 0.881000 0.000833 0.068000 0.398000 0.150000 0.000000 11 30.000000 0.000000 0.000000 1.000000 280.799988 0.319000
1 303064.049598 6718840.100106 0 0.000000 0 0.066667 0.000000 0.881000 0.000833 0.068000 0.398000 0.150000 0.000000 11 30.000000 0.000000 0.000000 1.000000 280.799988 0.319000
2 303094.049598 6718840.100106 0 0.000000 0 0.100000 0.000000 0.881000 0.000833 0.068000 0.398000 0.150000 0.000000 12 30.000000 0.000000 0.000000 1.000000 280.799988 0.319000
3 303124.049598 6718840.100106 0 0.000000 0 0.100000 0.000000 0.881000 0.000833 0.068000 0.398000 0.150000 0.000000 13 30.000000 0.000000 0.000000 1.000000 280.799988 0.319000
4 303154.049598 6718840.100106 0 0.000000 0 0.094281 0.000000 0.881000 0.000833 0.068000 0.398000 0.150000 0.000000 13 30.000000 0.000000 0.000000 1.000000 280.799988 0.319000
5 303184.049598 6718840.100106 0 0.000000 0 0.100000 0.000000 0.881000 0.000833 0.068000 0.398000 0.150000 0.000000 4 30.000000 0.000000 0.000000 1.000000 280.799988 0.319000
6 303214.049598 6718840.100106 0 0.000000 0 0.066667 0.000000 0.881000 0.000833 0.068000 0.398000 0.150000 0.000000 16 30.000000 0.000000 0.000000 1.000000 280.799988 0.319000
7 303244.049598 6718840.100106 0 0.000000 0 0.047140 0.000000 0.881000 0.000833 0.068000 0.398000 0.150000 0.000000 16 30.000000 0.000000 0.000000 1.000000 280.799988 0.319000
8 302974.049598 6718810.100106 0 0.000000 0 0.066667 0.000000 0.881000 0.000833 0.068000 0.398000 0.150000 0.000000 9 30.000000 0.000000 0.000000 1.000000 280.799988 0.319000
9 303004.049598 6718810.100106 0 0.000000 0 0.047140 0.000000 0.881000 0.000833 0.068000 0.398000 0.150000 0.000000 34 30.000000 0.000000 0.000000 1.000000 280.799988 0.319000
10 303034.049598 6718810.100106 0 0.000000 0 0.047140 0.000000 0.881000 0.000833 0.068000 0.398000 0.150000 0.000000 35 30.000000 0.000000 0.000000 1.000000 280.799988 0.319000
11 303064.049598 6718810.100106 0 0.000000 0 0.047140 0.000000 0.881000 0.000833 0.068000 0.398000 0.150000 0.000000 36 30.000000 0.000000 0.000000 1.000000 280.799988 0.319000
12 303094.049598 6718810.100106 0 0.000000 0 0.066667 0.000000 0.881000 0.000833 0.068000 0.398000 0.150000 0.000000 36 30.000000 0.000000 0.000000 1.000000 280.799988 0.319000
13 303124.049598 6718810.100106 0 0.000000 0 0.100000 0.000000 0.881000 0.000833 0.068000 0.398000 0.150000 0.000000 37 30.000000 0.000000 0.000000 1.000000 280.799988 0.319000
14 303154.049598 6718810.100106 0 0.000000 0 0.141421 0.000000 0.881000 0.000833 0.068000 0.398000 0.150000 0.000000 37 30.000000 0.000000 0.000000 1.000000 280.799988 0.319000
15 303184.049598 6718810.100106 0 0.000000 0 0.166667 0.000000 0.881000 0.000833 0.068000 0.398000 0.150000 0.000000 39 30.000000 0.000000 0.000000 1.000000 280.799988 0.319000
16 303214.049598 6718810.100106 0 0.000000 0 0.117851 0.000000 0.881000 0.000833 0.068000 0.398000 0.150000 0.000000 39 30.000000 0.000000 0.000000 1.000000 280.799988 0.319000
